track_id,track_name,artist_name,album_name,release_date,popularity,track_url,artist_id,genres
6zJ8b29VWM2JNntducbq4x,Queja Negra,Super Combo Los Tropicales,Valledupar,2007-10-09,28,https://open.spotify.com/track/6zJ8b29VWM2JNntducbq4x,7413EGw2gPpKWZoC32oQ2D,"['música tropical', 'guaracha']"
6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,Kansas,Point Of Know Return (Expanded Edition),1977,74,https://open.spotify.com/track/6zeE5tKyr8Nu882DQhhSQI,2hl0xAkS2AIRAu23TVMBG1,"['classic rock', 'progressive rock', 'album rock']"
72nLaDnt2dfxCA3ZAiEC2c,Still Dreaming,Nas,Hip Hop Is Dead (Expanded Edition),2007-01-23,63,https://open.spotify.com/track/72nLaDnt2dfxCA3ZAiEC2c,20qISvAhX20dpIbOOzGK3q,"['east coast hip hop', 'hip hop']"
777bCRuR1rpCW0be776Eb0,Baldor,Alcolirykoz,Aranjuez,2021-07-09,39,https://open.spotify.com/track/777bCRuR1rpCW0be776Eb0,3ygJTpJJIK7eEeC2EFRl9D,['latin hip hop']
77xkskRhyyn04LGS5V9U5F,Y No Puedo,Frankie Ruiz,"Cantándole al Amor, Vol. 2",2023-10-21,39,https://open.spotify.com/track/77xkskRhyyn04LGS5V9U5F,4dLvccxeQIM5u80Ri0u9OV,"['salsa', 'salsa romantica', 'merengue']"
7Dw2uxLHDOuz5DgR2Ik3bB,Betty,Zepherin Saint,Betty,2017-10-27,13,https://open.spotify.com/track/7Dw2uxLHDOuz5DgR2Ik3bB,10cgCwQ5XXirdZEPR6BuDD,[]
7HvvaUdnIMLjeLr9b9OtYn,Burly Brawl,Juno Reactor,The Matrix Reloaded: The Album,2009-08-25,33,https://open.spotify.com/track/7HvvaUdnIMLjeLr9b9OtYn,1Pe3z1UqRzKsQtHsl25dm6,['psytrance']
7LL40F6YdZgeiQ6en1c7Lk,Robot Rock,Daft Punk,Human After All,2005-03-14,54,https://open.spotify.com/track/7LL40F6YdZgeiQ6en1c7Lk,4tZwfgrHOc3mvqYlEYSvVi,"['french house', 'electronic', 'electro']"
7N2EXSUvmjcJGkuhMHZjrb,Mujer,Frankie Ruiz,"Cantándole al Amor, Vol. 2",2023-10-21,44,https://open.spotify.com/track/7N2EXSUvmjcJGkuhMHZjrb,4dLvccxeQIM5u80Ri0u9OV,"['salsa', 'salsa romantica', 'merengue']"
7dUEhfcH826OvQ2fWEx0oi,We Ain't the Same (feat. Nitty Scott & CJ Fly),Troy Ave,Peter Rosenberg x Ecko Present: The New York Renaissance,2013-04-02,12,https://open.spotify.com/track/7dUEhfcH826OvQ2fWEx0oi,3cvKNz7BwIY404XtZ5tpUW,[]
